Species,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Mppersp,Habitat,Trophic.Niche,Migration
Gallus gallus,30.9,8.9,218.2,751.7,,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,17.8,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,33.3,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,11.5,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,17.2,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,11.5,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,14.8,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,16.2,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,26.8,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,19.3,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,29,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,31.4,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,18.7,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,44.7,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,35.1,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,32.1,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,40.1,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,35,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,32.4,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,57,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,11,Forest,Omnivore,1
Gallus gallus,30.9,8.9,218.2,751.7,45.8,Forest,Omnivore,1
Larus atricilla,44.1,5.1,298.4,307.4,7.6,Marine,Aquatic predator,2
Pelecanus occidentalis,319.5,38.8,494.6,3427.8,29.9,Marine,Aquatic predator,1
Nannopterum auritum,68.2,12,311.8,1806.5,9.6,Marine,Aquatic predator,2
Thalasseus maximus,73.7,8.4,363.7,415.3,9.9,Marine,Aquatic predator,3
Phalacrocorax sulcirostris,51.9,8.6,248.8,995,320,Wetland,Aquatic predator,1
Anas platyrhynchos,58.5,20.8,263.4,843.4,44.6,Wetland,Herbivore aquatic,2
Anas platyrhynchos,58.5,20.8,263.4,843.4,57.1,Wetland,Herbivore aquatic,2
Coragyps atratus,60,14.8,410.1,1881.7,9.4,Human modified,Scavenger,2
