Species,IUCN,Species_type,Feeding_habit,Beak_Length_Culmen,Beak_Width,Wing_Length,Mass,Habitat,Habitat_Density,Migration,Primary_Lifestyle,Mppersp
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,17.8
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,33.25
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,11.452
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,17.18
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,11.548
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,14.79
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,16.22
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,26.8144
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,19.278
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,29
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,31.401
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,18.707
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,44.666
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,35.12189
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,32.0679
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,40.0846
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,35.0261
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,32.4
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,57
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,11
Gallus gallus,LC,Landbird,Omnivore,30.9,8.9,218.2,751.7,Forest,1,1,Terrestrial,45.82
Larus atricilla,LC,Aquatic bird,Carnivore,44.1,5.1,298.4,307.4,Marine,3,2,Aerial,7.6
Pelecanus occidentalis,LC,Aquatic bird,Piscivore,319.5,38.8,494.6,3427.8,Marine,3,1,Aerial,29.9
Nannopterum auritus,LC,Aquatic bird,Piscivore,68.2,12,311.8,1806.5,Marine,3,2,Aquatic,9.6
Thalasseus maximus,LC,Aquatic bird,Piscivore,73.7,8.4,363.7,415.3,Marine,3,3,Aerial,9.9
Phalacrocorax sulcirostris,LC,Aquatic bird,Piscivore,51.9,8.6,248.8,995,Wetland,3,1,Aquatic,320
Anas platyrhynchos,LC,Waterbird,Omnivore,58.5,20.8,263.4,843.4,Wetland,3,2,Aquatic,44.6
Anas platyrhynchos,LC,Waterbird,Omnivore,58.5,20.8,263.4,843.4,Wetland,3,2,Aquatic,57.05
Coragyps atratus,LC,Landbird,Carnivore,60,14.8,410.1,1881.7,Human modified,3,2,Terrestrial,9.37
Coragyps atratus,LC,Landbird,Carnivore,60,14.8,410.1,1881.7,Human modified,3,2,Terrestrial,6.83
Fulmarus glacialis,LC,Seabird,Piscivore,41.3,11.9,321.1,611.9,Marine,3,3,Aquatic,1.8
Fulmarus glacialis,LC,Seabird,Piscivore,41.3,11.9,321.1,611.9,Marine,3,3,Aquatic,0.89
Uria lomvia,LC,Seabird,Piscivore,49.3,8.6,206.8,964,Marine,3,3,Aquatic,0.33
Buteo lineatus,LC,Landbird,Carnivore,33.1,11.8,319,603.7,Woodland,1,3,Aerial,24.03
Pandion haliaetus,LC,Landbird,Piscivore,47,17.3,468.4,1483.2,Marine,3,3,Aerial,19.26
Strix varia,LC,Landbird,Carnivore,38.8,11.2,341.2,711.5,Forest,2,1,Insessorial,6.14
Megascops asio,LC,Landbird,Carnivore,22,6.4,168.5,180,Woodland,2,1,Insessorial,9.82
Coragyps atratus,LC,Landbird,Carnivore,60,14.8,410.1,1881.7,Human modified,3,2,Terrestrial,9.32
Cathartes aura,LC,Landbird,Carnivore,51.5,14.3,508.5,1518.2,Human modified,3,2,Terrestrial,17.66
Buteo jamaicensis,LC,Landbird,Carnivore,37.6,14.4,402.8,1101.2,Woodland,2,3,Insessorial,0.16
Accipiter cooperii,LC,Landbird,Carnivore,25.4,8.6,241.2,429.7,Woodland,2,3,Aerial,8.66
Corvus splendens,LC,Landbird,Omnivore,49.7,13.9,258.2,292.6,Human modified,3,1,Terrestrial,2.64
Fulmarus glacialis,LC,Seabird,Piscivore,41.3,11.9,321.1,611.9,Marine,3,3,Aquatic,10.3
