Species,Species_type,Feeding_habit,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Primary.Lifestyle,Mppersp,Migration,Migratory_status,IUCN
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,17.8,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,33.25,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,11.452,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,17.18,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,11.548,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,14.79,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,16.22,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,26.8144,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,19.278,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,29,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,31.401,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,18.707,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,44.666,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,35.12189,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,32.0679,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,40.0846,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,35.0261,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,32.4,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,57,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,11,1,Not a Migrant,LC
Gallus gallus,Landbird,Omnivore,30.9,8.9,218.2,751.7,Herbivore,Omnivore,Forest,1,Terrestrial,45.82,1,Not a Migrant,LC
Larus atricilla,Aquatic bird,Carnivore,44.1,5.1,298.4,307.4,Carnivore,Aquatic predator,Marine,3,Aerial,7.6,2,Full migrant,LC
Pelecanus occidentalis,Aquatic bird,Piscivore,319.5,38.8,494.6,3427.8,Carnivore,Aquatic predator,Marine,3,Aerial,29.9,1,Full migrant,LC
Nannopterum auritum,Aquatic bird,Piscivore,68.2,12,311.8,1806.5,Carnivore,Aquatic predator,Marine,3,Aquatic,9.6,2,Full migrant,LC
Thalasseus maximus,Aquatic bird,Piscivore,73.7,8.4,363.7,415.3,Carnivore,Aquatic predator,Marine,3,Aerial,9.9,3,Full migrant,LC
Phalacrocorax sulcirostris,Aquatic bird,Piscivore,51.9,8.6,248.8,995,Carnivore,Aquatic predator,Wetland,3,Aquatic,320,1,Not a Migrant,LC
Anas platyrhynchos,Waterbird,Omnivore,58.5,20.8,263.4,843.4,Herbivore,Herbivore aquatic,Wetland,3,Aquatic,44.6,2,Full Migrant,LC
Anas platyrhynchos,Waterbird,Omnivore,58.5,20.8,263.4,843.4,Herbivore,Herbivore aquatic,Wetland,3,Aquatic,57.05,2,Full Migrant,LC
Coragyps atratus,Landbird,Carnivore,60,14.8,410.1,1881.7,Omnivore,Scavenger,Human modified,3,Terrestrial,9.37,2,Full Migrant,LC
Coragyps atratus,Landbird,Carnivore,60,14.8,410.1,1881.7,Omnivore,Scavenger,Human modified,3,Terrestrial,6.83,2,Full Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,1.8,3,Full Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,0.89,3,Full Migrant,LC
Uria lomvia,Seabird,Piscivore,49.3,8.6,206.8,964,Carnivore,Aquatic predator,Marine,3,Aquatic,0.33,3,Full Migrant,LC
Buteo lineatus,Landbird,Carnivore,33.1,11.8,319,603.7,Carnivore,Vertivore,Woodland,1,Aerial,24.03,3,Full migrant,LC
Pandion haliaetus,Landbird,Piscivore,47,17.3,468.4,1483.2,Carnivore,Aquatic predator,Marine,3,Aerial,19.26,3,Full migrant,LC
Strix Varia,Landbird,Carnivore,38.8,11.2,341.2,711.5,Carnivore,Vertivore,Forest,2,Insessorial,6.14,1,Not a Migrant,LC
Megascops asio,Landbird,Carnivore,22,6.4,168.5,180,Carnivore,Invertivore,Woodland,2,Insessorial,9.82,1,Not a Migrant,LC
Coragyps atratus,Landbird,Carnivore,60,14.8,410.1,1881.7,Omnivore,Scavenger,Human modified,3,Terrestrial,9.32,2,Full Migrant,LC
Cathartes aura,Landbird,Carnivore,51.5,14.3,508.5,1518.2,Scavenger,Scavenger,Human modified,3,Terrestrial,17.66,2,Full migrant,LC
Buteo jamaicensis,Landbird,Carnivore,37.6,14.4,402.8,1101.2,Carnivore,Vertivore,Woodland,2,Insessorial,0.16,3,Full migrant,LC
Accipiter cooperii,Landbird,Carnivore,25.4,8.6,241.2,429.7,Carnivore,Vertivore,Woodland,2,Aerial,8.66,3,Full migrant,LC
